Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category_Predicted
Steven Mills,Female,18,Bangladesh,"Santiago, Gates and Rivas School",Los Angeles,6.0,1521.0,97.0,English,No,Yes,3.24,Excellent
Kayla Harris,Female,17,Pakistan,"Vega, Newton and Jones School",New York,10.0,1572.0,60.0,English,No,Yes,3.43,Excellent
David Adams,Female,17,US,Cain-Douglas School,Beijing,9.0,1362.0,82.0,English,No,Yes,1.65,Average
Karen Romero,Female,18,Nigeria,Watkins-Nelson School,Berlin,7.0,1562.0,90.0,Spanish,Yes,No,3.57,Excellent
Danielle Miller,Male,18,Indonesia,Bennett-Bowen School,Moscow,6.0,1329.0,79.0,Spanish,No,Yes,1.31,Average
Jade Johnson,Male,19,Bangladesh,"Long, Roberts and Blackburn School",Dubai,9.0,1391.0,63.0,English,Yes,Yes,1.77,Average
John Robertson,Female,19,Canada,"Austin, Patterson and Powell School",Cape Town,9.0,1290.0,99.0,French,Yes,No,1.12,Average
Monique Hanson,Female,19,Pakistan,Contreras Inc School,Sydney,9.0,1456.0,81.0,German,No,No,2.52,Good
Alexander Schwartz,Female,18,Spain,Rodriguez Inc School,Cape Town,9.0,1592.0,85.0,English,No,Yes,3.82,Excellent
Jesse Hoffman,Female,18,Philippines,Lyons LLC School,Chicago,6.0,1441.0,69.0,English,Yes,Yes,2.27,Good
Nicole Clark,Male,17,Germany,Ware-Hicks School,Moscow,7.0,1343.0,79.0,English,No,No,1.44,Average
Michael Molina,Male,19,France,Floyd Group School,Houston,6.0,1459.0,77.0,French,Yes,No,2.5,Good
Angela Hernandez,Female,17,India,Walsh-Cannon School,Chicago,9.0,1249.0,63.0,German,Yes,No,0.45,Poor
James Sanchez,Male,17,India,Zuniga-Gamble School,Moscow,8.0,1555.0,64.0,German,No,Yes,3.3,Excellent
Timothy Cross,Male,17,Indonesia,Campbell LLC School,Vancouver,7.0,1401.0,93.0,English,Yes,Yes,2.1,Good
Jeffrey Brown,Female,17,Canada,Simpson-Wilson School,New York,6.0,1380.0,70.0,French,No,Yes,1.71,Average
Christine Herrera,Male,19,South Africa,Lee LLC School,Toronto,7.0,1434.0,68.0,Spanish,No,Yes,2.2,Good
Michael Lowe,Male,17,Argentina,"Randolph, Cruz and Short School",Toronto,7.0,1450.0,80.0,Spanish,Yes,Yes,2.45,Good
Alexis King,Male,18,Nigeria,"Mcclure, Young and Solis School",Los Angeles,9.0,1229.0,91.0,Spanish,Yes,No,0.49,Poor
Michael Wood,Female,18,Argentina,Powell PLC School,Tokyo,9.0,1473.0,62.0,Spanish,Yes,No,2.52,Good
Adrian Horne,Male,18,US,Garcia-Bradford School,Paris,10.0,1297.0,83.0,English,Yes,Yes,1.06,Average
Edwin Cox,Female,19,China,"Rivas, Smith and Clark School",New York,8.0,1486.0,65.0,French,Yes,No,2.66,Good
Samuel Robertson,Female,17,Thailand,Johnson-Watson School,London,6.0,1529.0,61.0,Spanish,No,Yes,3.02,Excellent
James Decker,Female,19,Vietnam,Marshall LLC School,Phoenix,9.0,1522.0,62.0,German,Yes,No,2.98,Good
Todd Clark,Female,17,Iran,"Mckee, Hobbs and Haas School",Houston,9.0,1421.0,93.0,German,Yes,Yes,2.29,Good
Ruben Wallace,Male,19,Mexico,"Smith, Martinez and Velazquez School",Berlin,8.0,1408.0,65.0,German,No,Yes,1.94,Average
Christopher Blake,Male,19,Australia,Cox-Williams School,Beijing,9.0,1257.0,62.0,Spanish,Yes,No,0.51,Poor
Samantha Goodman,Female,17,Argentina,Cole Group School,Los Angeles,8.0,1510.0,78.0,Spanish,No,No,2.99,Good
Monica Christian,Male,19,South Africa,"Dyer, Brown and Brown School",Sydney,8.0,1309.0,94.0,Spanish,Yes,Yes,1.25,Average
John Riley,Male,17,Brazil,"Case, Cruz and Huffman School",Dubai,8.0,1399.0,70.0,English,Yes,No,1.9,Average
Michelle Rojas,Male,18,Bangladesh,Charles PLC School,Los Angeles,6.0,1314.0,77.0,German,No,Yes,1.15,Average
Alyssa West,Female,18,Mexico,Harrison Inc School,Tokyo,6.0,1254.0,62.0,French,Yes,No,0.47,Poor
Steven Solomon,Male,18,Russia,Lopez PLC School,Tokyo,6.0,1452.0,78.0,Spanish,No,Yes,2.44,Good
Jose Morris,Male,19,Turkey,Montgomery-Houston School,Houston,9.0,1222.0,83.0,German,No,No,0.36,Poor
Amy Bailey,Male,18,US,"Hamilton, Orozco and Grant School",Sydney,7.0,1499.0,83.0,French,Yes,Yes,2.93,Good
Carol Forbes,Male,17,Pakistan,Holt-Garcia School,Tokyo,8.0,1327.0,73.0,French,Yes,Yes,1.25,Average
Richard Pope,Female,18,Argentina,"Rodriguez, Smith and Norris School",Cape Town,10.0,1200.0,73.0,French,No,Yes,0.08,Poor
Donna Miller,Female,18,South Korea,Price-Mccarty School,Paris,7.0,1404.0,64.0,Spanish,No,Yes,1.89,Average
Justin Baker,Female,19,Canada,Parrish Group School,Houston,8.0,1219.0,75.0,German,No,No,0.26,Poor
Stephanie Rollins,Female,17,Pakistan,Ellis PLC School,New York,9.0,1310.0,64.0,English,Yes,Yes,1.02,Average
Laura Wilkerson,Female,19,Turkey,White-Romero School,Phoenix,7.0,1483.0,91.0,Spanish,No,No,2.84,Good
Michael Bright,Male,19,Pakistan,Young Ltd School,Houston,6.0,1225.0,99.0,Spanish,No,No,0.5,Poor
Stephanie Kim,Female,17,Indonesia,Cooley LLC School,Sydney,7.0,1536.0,99.0,English,Yes,Yes,3.4,Excellent
Teresa Smith,Female,19,US,Kelley-Scott School,Moscow,7.0,1202.0,95.0,French,Yes,No,0.26,Poor
Nicole Brock,Male,17,Pakistan,Mckenzie LLC School,Los Angeles,10.0,1299.0,84.0,French,Yes,No,1.09,Average
Erin Fernandez,Male,18,US,Smith LLC School,Phoenix,9.0,1496.0,88.0,German,Yes,No,2.95,Good
Austin Hamilton,Female,17,Nigeria,Francis LLC School,Tokyo,9.0,1327.0,71.0,German,Yes,No,1.24,Average
Tracey Mays,Female,17,France,Green-Castaneda School,Sydney,9.0,1241.0,85.0,German,Yes,Yes,0.55,Poor
Nancy Hoffman,Female,17,Nigeria,Daniels-Robinson School,Moscow,9.0,1344.0,78.0,English,No,Yes,1.45,Average
Joseph Cooke,Female,19,Canada,"Owens, Carpenter and Robinson School",Moscow,7.0,1308.0,79.0,Spanish,No,Yes,1.12,Average
David Peterson,Male,17,Egypt,Carson-Williams School,Vancouver,10.0,1537.0,90.0,German,Yes,Yes,3.35,Excellent
Ariel Cook,Male,17,UK,"Conley, Gonzales and Patterson School",London,8.0,1325.0,71.0,Spanish,Yes,Yes,1.22,Average
Adriana Rangel,Female,17,Canada,Ashley Ltd School,Tokyo,9.0,1516.0,73.0,Spanish,No,Yes,3.01,Excellent
Sean Chavez,Female,18,Nigeria,Lee Ltd School,Dubai,10.0,1557.0,97.0,English,No,No,3.6,Excellent
Jay Park,Male,17,Philippines,Robinson-Jackson School,New York,7.0,1374.0,62.0,French,No,Yes,1.59,Average
Monica Baker,Male,19,Egypt,"Richards, Miller and Evans School",Moscow,6.0,1564.0,79.0,German,Yes,No,3.49,Excellent
Cassandra Wright,Female,17,South Korea,Weaver-Vega School,Tokyo,7.0,1351.0,97.0,French,Yes,Yes,1.66,Average
Sara Cain,Male,17,Nigeria,Greer-Kane School,Vancouver,8.0,1586.0,84.0,Spanish,No,Yes,3.75,Excellent
Bobby Jones,Male,18,Mexico,"Lucas, Webb and Clark School",Los Angeles,9.0,1236.0,82.0,Spanish,Yes,Yes,0.48,Poor
Glenn Medina,Male,17,Canada,"Brown, Vaughn and Adams School",Chicago,9.0,1475.0,70.0,German,Yes,No,2.61,Good
James Mendoza,Male,19,Turkey,"Wilson, Diaz and Bridges School",Cape Town,6.0,1398.0,74.0,Spanish,Yes,No,1.91,Average
Stephanie Brown,Male,17,Argentina,Mckay-Cohen School,Moscow,8.0,1355.0,94.0,English,Yes,No,1.68,Average
Dr. Alicia Gomez MD,Male,19,Colombia,Jones-White School,New York,8.0,1453.0,82.0,English,No,Yes,2.5,Good
Jessica Cortez,Male,18,Mexico,"Brown, Walters and Sanchez School",Toronto,7.0,1482.0,81.0,English,Yes,No,2.75,Good
Lisa Johnson,Male,17,Spain,Simmons-Best School,Dubai,6.0,1202.0,64.0,German,Yes,Yes,0.0,Poor
Richard Perkins,Male,18,Italy,"Dawson, Bautista and Freeman School",Tokyo,7.0,1267.0,61.0,French,Yes,Yes,0.59,Poor
Alexa Webster,Male,17,US,"Valdez, Davidson and Rodriguez School",Chicago,10.0,1485.0,99.0,French,Yes,No,2.94,Good
Mark Murillo,Male,19,Japan,Smith-Hood School,Berlin,7.0,1467.0,75.0,French,Yes,Yes,2.56,Good
Maria Ortega,Female,18,South Korea,Stewart-Perry School,Berlin,8.0,1586.0,84.0,French,No,No,3.75,Excellent
Aaron Hudson,Male,17,Italy,Reynolds-Moreno School,Paris,9.0,1504.0,63.0,French,No,No,2.82,Good
Donna Travis,Female,19,Brazil,"Jackson, Terry and Stuart School",London,7.0,1580.0,87.0,German,No,Yes,3.71,Excellent
Kelly Griffin,Male,18,Colombia,Brewer Group School,Berlin,10.0,1481.0,97.0,Spanish,Yes,No,2.89,Good
Eric Stephenson,Female,17,Philippines,Paul Inc School,Sydney,10.0,1319.0,83.0,French,Yes,No,1.27,Average
Jake Washington Jr.,Male,18,India,Nelson-Burton School,Sydney,7.0,1242.0,65.0,German,No,Yes,0.39,Poor
Angela Johnson,Male,17,Philippines,Kline-Mitchell School,Sydney,8.0,1513.0,83.0,French,Yes,No,3.06,Excellent
Nicole Wood,Female,19,Philippines,Hawkins PLC School,London,7.0,1458.0,91.0,Spanish,No,Yes,2.61,Good
Lisa Williams,Male,19,Canada,Dorsey-Hansen School,Toronto,7.0,1219.0,76.0,Spanish,Yes,No,0.26,Poor
Cheryl Fernandez,Male,18,Germany,Sweeney-Parks School,Houston,6.0,1344.0,95.0,Spanish,No,Yes,1.58,Average
Larry Hawkins,Female,18,Mexico,Williams-Wang School,New York,8.0,1583.0,86.0,French,Yes,Yes,3.74,Excellent
Mike Robinson,Male,17,Colombia,Hernandez PLC School,New York,8.0,1400.0,96.0,Spanish,Yes,Yes,2.12,Good
Emily Harris,Female,19,Pakistan,"Shepard, Beard and Cooley School",Sydney,6.0,1373.0,85.0,Spanish,No,No,1.77,Average
Edward Graves,Female,17,Nigeria,Hernandez-Anderson School,London,7.0,1383.0,65.0,English,No,Yes,1.7,Average
Juan Gray,Female,19,Philippines,Chambers-Nelson School,Tokyo,10.0,1284.0,72.0,Spanish,No,Yes,0.85,Poor
Alexandra Conrad,Female,18,France,Aguilar LLC School,Cape Town,7.0,1347.0,68.0,German,No,No,1.39,Average
Angela Hubbard,Male,17,Indonesia,Perry-Monroe School,Paris,7.0,1348.0,96.0,Spanish,Yes,No,1.63,Average
Brandon Costa,Female,17,Pakistan,"Collier, Hernandez and Rush School",Chicago,8.0,1221.0,90.0,English,No,No,0.4,Poor
Theodore Rogers,Male,19,South Africa,"Haley, Richardson and Taylor School",Toronto,10.0,1507.0,87.0,French,Yes,No,3.05,Excellent
Renee Patrick,Female,19,Brazil,Gonzalez-Gates School,Sydney,7.0,1367.0,72.0,German,Yes,No,1.61,Average
Michelle Jones,Male,19,Iran,Clark-Martinez School,Tokyo,9.0,1529.0,67.0,English,No,No,3.09,Excellent
Andrea Short,Male,18,Philippines,Smith and Sons School,Berlin,9.0,1540.0,90.0,English,No,No,3.38,Excellent
Christopher Roy,Female,17,Germany,"Thomas, Schroeder and Blankenship School",London,7.0,1285.0,79.0,English,No,Yes,0.9,Poor
Brett Colon,Male,19,Indonesia,Dorsey-Stevenson School,Toronto,9.0,1463.0,69.0,French,No,No,2.49,Good
Dalton Conway,Male,18,South Korea,Hernandez-Hood School,Tokyo,7.0,1389.0,85.0,Spanish,No,Yes,1.92,Average
Timothy Valencia,Female,19,Canada,Curtis Group School,Tokyo,9.0,1552.0,62.0,French,Yes,Yes,3.26,Excellent
Jordan Baldwin,Male,17,Indonesia,"Swanson, Leonard and Huang School",Moscow,9.0,1286.0,73.0,Spanish,Yes,Yes,0.87,Poor
Shannon Lewis,Female,19,Colombia,Wang Ltd School,Dubai,8.0,1471.0,79.0,French,No,Yes,2.64,Good
Amber Murphy,Female,17,Thailand,Rowe Inc School,Houston,6.0,1443.0,66.0,Spanish,Yes,Yes,2.26,Good
Lisa Mckee,Male,18,Nigeria,"Thompson, Washington and Miller School",Paris,9.0,1318.0,99.0,Spanish,Yes,No,1.38,Average
Rachel Wilson,Male,18,China,Ali-Mitchell School,London,7.0,1255.0,68.0,French,Yes,Yes,0.53,Poor
Ashley Scott,Male,19,Brazil,Cardenas-Christensen School,Toronto,7.0,1461.0,65.0,German,Yes,No,2.43,Good
Ellen Walker,Female,17,Iran,Hensley-Smith School,Dubai,6.0,1495.0,68.0,German,Yes,No,2.76,Good
Sally Woods,Male,17,Canada,Goodwin PLC School,Chicago,8.0,1326.0,91.0,German,Yes,No,1.39,Average
Ann Moore,Female,17,US,Brown-Gonzalez School,Sydney,9.0,1458.0,77.0,French,Yes,No,2.51,Good
Cameron Martinez,Male,19,Turkey,Peterson-Wilson School,Cape Town,6.0,1358.0,83.0,Spanish,Yes,Yes,1.61,Average
Tiffany Perry,Male,17,Brazil,Gomez-Townsend School,Toronto,8.0,1485.0,61.0,Spanish,No,No,2.62,Good
Christopher Baker,Female,17,Argentina,"Simmons, Johnson and Anderson School",Berlin,7.0,1280.0,61.0,Spanish,No,Yes,0.71,Poor
Lauren Edwards,Female,17,Thailand,Russell-King School,Toronto,9.0,1556.0,78.0,English,No,Yes,3.43,Excellent
Rebecca Allen,Male,17,Argentina,Johnson LLC School,Los Angeles,7.0,1315.0,93.0,Spanish,Yes,Yes,1.3,Average
Curtis Shaw,Male,19,UK,"Armstrong, Khan and Miles School",Chicago,9.0,1347.0,95.0,French,No,Yes,1.62,Average
David Ramsey,Female,19,Turkey,Robinson-Douglas School,Phoenix,8.0,1223.0,63.0,English,Yes,Yes,0.2,Poor
Denise Ross,Male,17,Pakistan,Shaw-Johnson School,Dubai,10.0,1245.0,82.0,English,Yes,No,0.57,Poor
Denise Wilson,Male,17,UK,Salazar Group School,Houston,7.0,1406.0,97.0,Spanish,No,Yes,2.18,Good
Kristin Chapman,Male,18,Colombia,Andrews PLC School,Paris,7.0,1307.0,76.0,German,Yes,No,1.08,Average
Amanda Moore,Female,18,Canada,Barrett-Russo School,Sydney,6.0,1534.0,93.0,German,Yes,No,3.33,Excellent
Courtney Davis,Male,17,Brazil,Garcia Group School,Chicago,10.0,1206.0,65.0,French,Yes,No,0.07,Poor
Andrew Zimmerman,Male,17,Argentina,Bowman and Sons School,Vancouver,10.0,1352.0,97.0,English,No,Yes,1.69,Average
Martin Bradley,Male,18,Russia,Ali and Sons School,Cape Town,7.0,1335.0,90.0,French,No,No,1.46,Average
Curtis Davis,Female,18,Germany,Maynard-Miller School,Sydney,9.0,1208.0,98.0,English,Yes,Yes,0.35,Poor
Sarah Harrison,Female,17,Iran,Hale Ltd School,Los Angeles,9.0,1250.0,87.0,English,Yes,Yes,0.65,Poor
Lori Maxwell,Male,19,Canada,"Williams, Wood and Baldwin School",Los Angeles,8.0,1365.0,75.0,French,No,Yes,1.62,Average
Max Mccoy,Female,19,Nigeria,"Hunter, Freeman and Mcmillan School",Houston,8.0,1397.0,98.0,French,Yes,Yes,2.11,Good
Justin Morales,Male,17,Brazil,Martinez-Hale School,London,7.0,1362.0,71.0,English,Yes,No,1.55,Average
Gerald Mullen,Female,17,Argentina,Hudson-Good School,Sydney,6.0,1412.0,73.0,French,Yes,No,2.03,Good
Shelby Hoffman,Female,18,Mexico,Cobb PLC School,Moscow,10.0,1438.0,88.0,Spanish,No,Yes,2.42,Good
Maria Snyder,Male,18,Pakistan,"Harris, Harris and Rodriguez School",Los Angeles,10.0,1204.0,91.0,French,Yes,Yes,0.26,Poor
Victoria Johnson,Female,19,Mexico,Short LLC School,Cape Town,9.0,1386.0,97.0,French,Yes,Yes,2.0,Average
Wayne Serrano,Female,17,Nigeria,Rocha Ltd School,London,7.0,1585.0,68.0,Spanish,No,Yes,3.6,Excellent
Russell Jones,Female,18,Bangladesh,Banks-Brown School,Chicago,7.0,1408.0,92.0,French,No,No,2.15,Good
Paul Davis,Female,19,US,Smith Group School,Tokyo,9.0,1471.0,90.0,French,No,No,2.73,Good
Jonathan Evans,Female,19,France,"Douglas, Bentley and Cole School",Sydney,10.0,1325.0,63.0,French,No,No,1.16,Average
Patrick Villegas,Male,19,Iran,"Huang, Trevino and Price School",Toronto,10.0,1510.0,75.0,German,No,No,2.98,Good
Gina Herring,Female,18,US,"Vega, Kelley and Smith School",Chicago,9.0,1509.0,71.0,English,No,No,2.93,Good
Ryan Lewis,Female,18,Nigeria,Tate-Martin School,Chicago,9.0,1409.0,72.0,Spanish,Yes,No,2.01,Good
Christian Perez,Female,17,Iran,Perez and Sons School,Tokyo,6.0,1590.0,99.0,French,Yes,Yes,3.9,Excellent
Todd Pennington,Female,17,Bangladesh,"Rodriguez, Brooks and Stephens School",Berlin,7.0,1250.0,86.0,Spanish,Yes,Yes,0.63,Poor
Lori Lewis,Female,19,Iran,"Jones, Petersen and Alexander School",Los Angeles,10.0,1207.0,89.0,French,Yes,No,0.27,Poor
Scott Moore,Male,19,Indonesia,"Smith, Bowers and Green School",Cape Town,8.0,1508.0,99.0,French,Yes,No,3.15,Excellent
Justin George,Female,18,Indonesia,Taylor and Sons School,Los Angeles,6.0,1523.0,75.0,Spanish,No,Yes,3.08,Excellent
Angela Clark,Male,18,Egypt,Watkins Group School,Chicago,6.0,1248.0,92.0,French,Yes,Yes,0.66,Poor
Brandon Wilkerson,Female,17,Turkey,Cain-Harris School,Los Angeles,9.0,1306.0,77.0,English,Yes,Yes,1.09,Average
Nicholas Lee,Male,17,Australia,Brown-Fitzgerald School,Beijing,6.0,1207.0,95.0,English,No,No,0.3,Poor
Jill Lewis,Female,17,Australia,Evans-Rojas School,Moscow,7.0,1317.0,67.0,French,No,No,1.1,Average
Michael Clark,Female,18,US,"Bright, Hall and Dudley School",Moscow,8.0,1509.0,98.0,French,No,Yes,3.15,Excellent
Sherry Pena,Male,19,Canada,Harding and Sons School,Cape Town,9.0,1407.0,69.0,German,No,Yes,1.97,Average
Anna Andrews,Male,17,Canada,Austin-Hester School,Paris,9.0,1339.0,73.0,English,Yes,Yes,1.37,Average
Jeffrey Patel,Female,17,Australia,Harris-Lawrence School,Sydney,7.0,1349.0,90.0,English,Yes,Yes,1.59,Average
Ricky Briggs,Male,18,Vietnam,Phelps-Williams School,Berlin,9.0,1201.0,76.0,French,No,No,0.11,Poor
Katelyn Adams,Female,17,South Korea,"Hernandez, Lawson and Barr School",Tokyo,7.0,1320.0,84.0,English,Yes,Yes,1.27,Average
