Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category
Jennifer Johnson,Male,18,Bangladesh,Nolan-Solomon School,Houston,9.0,1501.0,89.0,English,Yes,Yes,3.01,Excellent
Amanda Holder,Male,17,France,"Ross, Barnes and Strickland School",Moscow,8.0,1508.0,97.0,Spanish,Yes,No,3.13,Excellent
John Ayala,Female,18,Nigeria,Powers-Thomas School,Dubai,6.0,1463.0,90.0,German,No,Yes,2.64,Good
Kiara Adams,Male,17,Egypt,Castro Group School,New York,8.0,1506.0,84.0,German,Yes,No,3.01,Excellent
Sarah Lawrence,Female,17,Russia,Rivera Ltd School,Chicago,6.0,1538.0,68.0,English,Yes,Yes,3.17,Excellent
Scott Robinson,Male,18,Egypt,Cummings-Bates School,New York,10.0,1445.0,87.0,French,Yes,Yes,2.47,Good
Alexandra Clark,Male,19,Bangladesh,Schmidt-Lopez School,London,7.0,1235.0,85.0,French,No,No,0.48,Poor
Thomas Johnson,Female,19,UK,Patterson Ltd School,Moscow,9.0,1395.0,84.0,French,Yes,Yes,1.98,Average
Scott Dixon,Male,17,Argentina,"Burke, Flores and Guerrero School",Beijing,7.0,1231.0,80.0,German,Yes,Yes,0.41,Poor
Lisa Hayes,Female,19,Indonesia,"Spencer, Kramer and Finley School",Houston,8.0,1363.0,81.0,French,No,Yes,1.65,Average
Eric Brown,Female,17,Egypt,Kaufman-Marshall School,Moscow,8.0,1363.0,73.0,French,Yes,Yes,1.59,Average
Albert Swanson,Male,19,China,"Rice, Henry and Brown School",Vancouver,7.0,1226.0,81.0,English,Yes,Yes,0.37,Poor
Eric Tate,Male,18,Indonesia,Murphy-Hernandez School,Beijing,10.0,1340.0,68.0,German,No,Yes,1.34,Average
Carla Cooper,Male,19,India,Roach and Sons School,New York,9.0,1244.0,92.0,Spanish,Yes,Yes,0.63,Poor
Marvin Rollins,Male,17,Nigeria,Chung-Parker School,Vancouver,10.0,1523.0,67.0,French,No,No,3.04,Excellent
Rhonda Tucker,Male,17,Nigeria,Roberts-Brown School,New York,10.0,1579.0,63.0,Spanish,Yes,No,3.53,Excellent
Jeffrey Lamb,Female,19,Russia,Powell-Reed School,London,8.0,1229.0,77.0,French,No,Yes,0.37,Poor
Johnny Potter,Male,18,Australia,"Wolf, Miller and Mason School",Los Angeles,10.0,1582.0,86.0,English,Yes,No,3.74,Excellent
Karen Bradford,Male,17,Canada,Thompson-Fuentes School,Chicago,6.0,1409.0,78.0,French,No,No,2.04,Good
Jody Butler,Female,17,Australia,"Powers, Jones and Henderson School",Sydney,7.0,1320.0,71.0,French,Yes,No,1.16,Average
Marie Flores,Female,17,Spain,Wilson Group School,Moscow,6.0,1231.0,82.0,French,Yes,No,0.42,Poor
Brittany Mcdonald,Male,17,Philippines,"Ramirez, Walter and Miller School",New York,7.0,1400.0,74.0,German,Yes,No,1.93,Average
Thomas Wright,Male,17,Brazil,Campbell-Holland School,Phoenix,8.0,1518.0,97.0,French,No,No,3.22,Excellent
Douglas Moore,Female,18,France,Dunn LLC School,Sydney,7.0,1483.0,97.0,French,No,No,2.89,Good
Brian Tran,Male,19,Italy,"Weaver, Pittman and Alvarez School",Phoenix,9.0,1220.0,80.0,Spanish,Yes,Yes,0.31,Poor
Natalie Carter,Female,18,US,Tucker-Murphy School,New York,7.0,1229.0,73.0,English,No,Yes,0.33,Poor
Roberto Torres,Female,18,Italy,Reynolds-Daniels School,Phoenix,7.0,1361.0,89.0,French,Yes,Yes,1.69,Average
Elizabeth Andrews,Male,17,Argentina,"Elliott, Heath and Sloan School",Phoenix,8.0,1318.0,61.0,French,Yes,Yes,1.07,Average
Amy Farrell,Female,18,Nigeria,Rogers Inc School,Dubai,7.0,1293.0,79.0,English,No,No,0.98,Poor
Jeffrey Salinas,Female,17,Thailand,Smith LLC School,Tokyo,9.0,1312.0,73.0,English,No,No,1.12,Average
Jessica Castillo,Male,18,Turkey,Avila Ltd School,New York,6.0,1521.0,97.0,Spanish,No,Yes,3.24,Excellent
Nicole Rose,Male,17,Pakistan,"Clark, Nguyen and Rhodes School",Houston,10.0,1572.0,60.0,Spanish,No,Yes,3.44,Excellent
Joseph Bowen,Male,17,Nigeria,Lane-Cochran School,Moscow,9.0,1362.0,82.0,French,No,Yes,1.65,Average
Lisa White PhD,Male,18,Bangladesh,Ballard-Graves School,Beijing,7.0,1562.0,90.0,German,No,No,3.57,Excellent
Michael Humphrey,Female,18,Iran,Rush-Thornton School,Berlin,6.0,1329.0,79.0,German,No,No,1.31,Average
Alexis Carpenter,Female,19,Australia,Watson-Hayden School,Phoenix,9.0,1391.0,63.0,English,Yes,No,1.77,Average
Susan Mccormick,Female,19,South Korea,Harris-Bailey School,New York,9.0,1290.0,99.0,French,Yes,Yes,1.12,Average
Victoria Gray,Male,19,South Africa,Jones Ltd School,Los Angeles,9.0,1456.0,81.0,German,Yes,Yes,2.52,Good
Sara Estrada,Female,18,Egypt,"Stone, Morton and Thomas School",Berlin,9.0,1592.0,85.0,French,Yes,No,3.82,Excellent
Jacqueline Jackson,Male,18,Iran,"Rodriguez, Jenkins and Mitchell School",Chicago,6.0,1441.0,69.0,French,Yes,Yes,2.27,Good
James Maldonado,Male,17,Philippines,Allen PLC School,Moscow,7.0,1343.0,79.0,Spanish,No,No,1.44,Average
Andrea Walsh,Female,19,US,Romero PLC School,Los Angeles,6.0,1459.0,77.0,German,Yes,Yes,2.5,Good
Diane Nelson,Female,17,Colombia,Stewart Ltd School,Cape Town,9.0,1249.0,63.0,German,Yes,No,0.45,Poor
Marcus Bond,Female,17,UK,Steele Ltd School,Chicago,8.0,1555.0,64.0,Spanish,No,Yes,3.3,Excellent
Nicholas Ellison,Male,17,Mexico,Calderon PLC School,Moscow,7.0,1401.0,93.0,English,No,Yes,2.1,Good
Alex Stone MD,Male,17,UK,Lee-Krueger School,Vancouver,6.0,1380.0,70.0,German,No,No,1.71,Average
Norma Sullivan,Female,19,Turkey,Smith-Lee School,Beijing,7.0,1434.0,68.0,French,No,No,2.2,Good
Isabel Crawford,Male,17,Canada,Jackson Ltd School,Berlin,7.0,1450.0,80.0,French,No,No,2.45,Good
Norman Ray,Male,18,Iran,Collier-Lopez School,Cape Town,9.0,1229.0,91.0,Spanish,Yes,Yes,0.49,Poor
Timothy Lopez,Male,18,Nigeria,Lindsey-Camacho School,Los Angeles,9.0,1473.0,62.0,German,Yes,No,2.53,Good
Brett Vang,Female,18,Pakistan,Edwards-Smith School,London,10.0,1297.0,83.0,Spanish,No,No,1.06,Average
Sue Benson,Female,19,South Africa,Parker LLC School,Vancouver,8.0,1486.0,65.0,English,No,Yes,2.67,Good
Caleb Garcia,Male,17,Philippines,"Smith, Alvarez and Carney School",London,6.0,1529.0,61.0,German,No,Yes,3.03,Excellent
Patricia Choi,Male,19,Germany,Reed Group School,Cape Town,9.0,1522.0,62.0,Spanish,No,No,2.99,Good
Christina Collins,Female,17,Mexico,"Davis, Salazar and Henry School",Chicago,9.0,1421.0,93.0,Spanish,Yes,Yes,2.29,Good
Andrea Brown,Male,19,Mexico,Nguyen-Gutierrez School,Paris,8.0,1408.0,65.0,Spanish,Yes,No,1.94,Average
Nicholas Bailey,Female,19,Indonesia,"Thomas, Kramer and Banks School",Toronto,9.0,1257.0,62.0,French,No,Yes,0.51,Poor
Amanda Watts MD,Female,17,Bangladesh,Roberts-Flynn School,Vancouver,8.0,1510.0,78.0,Spanish,No,Yes,3.0,Good
John Simon,Male,19,China,Kirk and Sons School,Tokyo,8.0,1309.0,94.0,English,No,No,1.25,Average
Christopher Meadows,Male,17,Germany,"Parker, Valdez and Smith School",Sydney,8.0,1399.0,70.0,Spanish,No,No,1.9,Average
Seth Thompson,Male,18,Iran,"Bennett, Smith and Rodriguez School",Beijing,6.0,1314.0,77.0,Spanish,No,Yes,1.15,Average
Matthew Hickman,Female,18,Thailand,Rocha PLC School,Paris,6.0,1254.0,62.0,French,Yes,Yes,0.47,Poor
Sierra Green,Male,18,India,Chung-Hall School,London,6.0,1452.0,78.0,German,No,No,2.45,Good
Nathaniel Schultz,Male,19,Italy,"Taylor, Rodriguez and Combs School",Dubai,9.0,1222.0,83.0,German,Yes,No,0.36,Poor
John Dixon,Female,18,Brazil,Lowe Group School,Tokyo,7.0,1499.0,83.0,German,No,Yes,2.93,Good
Angel Tate,Female,17,Philippines,Smith PLC School,Los Angeles,8.0,1327.0,73.0,French,No,No,1.25,Average
Anthony Baker,Female,18,Canada,Duran Inc School,Vancouver,10.0,1200.0,73.0,French,Yes,Yes,0.08,Poor
Kelly Baker,Male,18,Vietnam,Chen Ltd School,Los Angeles,7.0,1404.0,64.0,English,Yes,Yes,1.89,Average
Michael Johnson,Female,19,Egypt,"Bryant, Stewart and Stewart School",Toronto,8.0,1219.0,75.0,English,No,No,0.26,Poor
Anthony Martinez,Female,17,Pakistan,"Cunningham, Perkins and Cooper School",Chicago,9.0,1310.0,64.0,Spanish,Yes,No,1.02,Average
Yolanda Salinas,Female,19,Argentina,"Jennings, Flores and Reynolds School",Phoenix,7.0,1483.0,91.0,English,No,Yes,2.84,Good
Allison Bean,Female,19,Brazil,"West, Kline and Ellison School",Beijing,6.0,1225.0,99.0,Spanish,Yes,Yes,0.5,Poor
Craig Horton,Male,17,Thailand,"Hayes, Gardner and Powell School",Houston,7.0,1536.0,99.0,Spanish,No,Yes,3.4,Excellent
Ashley Kelly,Female,19,Indonesia,Roberts-Allison School,Paris,7.0,1202.0,95.0,German,Yes,Yes,0.26,Poor
Brandy Garcia,Female,17,UK,"Davis, Watkins and Pace School",Cape Town,10.0,1299.0,84.0,French,Yes,Yes,1.09,Average
Alexis Torres,Female,18,Brazil,"Frank, Wilson and Parsons School",Sydney,9.0,1496.0,88.0,Spanish,No,Yes,2.95,Good
Mr. Benjamin Carter,Female,17,Pakistan,Chang-Bennett School,Houston,9.0,1327.0,71.0,German,No,Yes,1.24,Average
Nicole Weaver,Female,17,Indonesia,Robinson Ltd School,Paris,9.0,1241.0,85.0,French,Yes,Yes,0.55,Poor
Elizabeth Hill,Male,17,Spain,Mckinney Inc School,Toronto,9.0,1344.0,78.0,German,Yes,Yes,1.45,Average
Curtis Lynn,Male,19,Canada,Taylor-Johnson School,Berlin,7.0,1308.0,79.0,English,No,Yes,1.12,Average
Michele Coleman,Male,17,Germany,Mason-Jones School,Moscow,10.0,1537.0,90.0,Spanish,Yes,Yes,3.35,Excellent
Stacey Smith,Male,17,Iran,Williams-Lowery School,Chicago,8.0,1325.0,71.0,German,No,Yes,1.22,Average
Joseph Rivera,Male,17,Egypt,Rodriguez Ltd School,Cape Town,9.0,1516.0,73.0,English,No,Yes,3.02,Excellent
Glenn Chapman,Female,18,Bangladesh,Sanchez Inc School,Houston,10.0,1557.0,97.0,Spanish,No,Yes,3.6,Excellent
Anthony Wallace,Female,17,UK,Thompson-Andrews School,New York,7.0,1374.0,62.0,French,No,No,1.6,Average
Nathan Ballard,Female,19,South Korea,"Evans, Price and Miller School",New York,6.0,1564.0,79.0,German,No,Yes,3.5,Excellent
Amanda Larsen,Male,17,Italy,Mcdonald and Sons School,Toronto,7.0,1351.0,97.0,Spanish,Yes,No,1.66,Average
Jessica Howell,Female,17,Turkey,Smith and Sons School,Tokyo,8.0,1586.0,84.0,English,Yes,No,3.75,Excellent
Danielle Robinson,Female,18,Canada,Alexander-Turner School,Phoenix,9.0,1236.0,82.0,English,Yes,Yes,0.48,Poor
Diane Yang,Female,17,Mexico,Savage-Black School,Berlin,9.0,1475.0,70.0,Spanish,Yes,Yes,2.61,Good
Angela Miller,Male,19,Vietnam,Gonzalez-Rangel School,Tokyo,6.0,1398.0,74.0,French,Yes,No,1.91,Average
Laura Dorsey,Male,17,Egypt,Hansen Ltd School,Phoenix,8.0,1355.0,94.0,German,Yes,Yes,1.68,Average
Malik Bray,Female,19,Germany,Quinn-Taylor School,London,8.0,1453.0,82.0,Spanish,No,No,2.5,Good
Jessica Pearson,Female,18,Spain,Smith-Bishop School,New York,7.0,1482.0,81.0,French,Yes,No,2.75,Good
David Jenkins,Male,17,Russia,Chaney PLC School,Cape Town,6.0,1202.0,64.0,Spanish,No,Yes,0.0,
Edgar Gibbs,Female,18,Pakistan,Keller-Young School,Toronto,7.0,1267.0,61.0,Spanish,No,No,0.59,Poor
John Oconnor DDS,Male,17,Germany,Turner-Wells School,Houston,10.0,1485.0,99.0,French,Yes,Yes,2.94,Good
Margaret Hendrix,Female,19,Canada,Allen-Harvey School,Paris,7.0,1467.0,75.0,French,Yes,Yes,2.57,Good
Cameron Wilkerson,Female,18,China,"Finley, Vazquez and Hernandez School",New York,8.0,1586.0,84.0,German,No,No,3.75,Excellent
Rebecca Harmon,Male,17,Vietnam,Collier-Reese School,Los Angeles,9.0,1504.0,63.0,German,No,Yes,2.83,Good
Mark Pennington,Male,19,Philippines,Berry-Morgan School,Paris,7.0,1580.0,87.0,French,Yes,No,3.72,Excellent
Leslie Maxwell,Female,18,Australia,"Cruz, Jordan and Yoder School",Dubai,10.0,1481.0,97.0,Spanish,No,Yes,2.89,Good
Matthew James,Female,17,Indonesia,Weber-Wells School,Dubai,10.0,1319.0,83.0,French,No,No,1.27,Average
Johnny Bowman,Male,18,Egypt,Underwood-Lam School,Berlin,7.0,1242.0,65.0,English,No,Yes,0.39,Poor
Alejandro Brewer,Male,17,Colombia,Jackson Ltd School,Paris,8.0,1513.0,83.0,English,Yes,Yes,3.06,Excellent
Megan Howard,Female,19,Japan,Brewer-Brown School,Berlin,7.0,1458.0,91.0,English,Yes,Yes,2.61,Good
Adam Cameron,Female,19,US,Taylor-Andrade School,Cape Town,7.0,1219.0,76.0,English,No,No,0.26,Poor
Joseph Smith,Female,18,South Korea,Velasquez LLC School,Houston,6.0,1344.0,95.0,English,No,No,1.57,Average
Nicole Bell,Female,18,Spain,"Edwards, Brown and Miller School",Toronto,8.0,1583.0,86.0,English,No,No,3.74,Excellent
Joshua Stanley,Female,17,Argentina,Simmons Inc School,Beijing,8.0,1400.0,96.0,German,Yes,No,2.11,Good
Kristen Myers,Female,19,Argentina,Holt-Wright School,Chicago,6.0,1373.0,85.0,Spanish,No,No,1.77,Average
Erica Glass,Male,17,Mexico,Hernandez-Baker School,Chicago,7.0,1383.0,65.0,Spanish,No,No,1.7,Average
Joseph Bailey,Male,19,Philippines,Lopez PLC School,Vancouver,10.0,1284.0,72.0,English,No,Yes,0.85,Poor
Jenny Taylor,Female,18,Australia,"Sosa, Christensen and Mack School",Cape Town,7.0,1347.0,68.0,Spanish,No,No,1.39,Average
Robin Hobbs,Female,17,Brazil,Herrera PLC School,Vancouver,7.0,1348.0,96.0,German,No,No,1.62,Average
William Edwards,Male,17,Philippines,Landry-Braun School,New York,8.0,1221.0,90.0,Spanish,No,Yes,0.4,Poor
Renee Rivera,Female,19,Vietnam,"Harrison, Smith and Pollard School",Moscow,10.0,1507.0,87.0,French,No,Yes,3.05,Excellent
James Campbell,Male,19,Colombia,"Wade, Richardson and Schroeder School",Berlin,7.0,1367.0,72.0,French,No,No,1.61,Average
Elizabeth Fox,Female,19,Japan,Blevins-Hernandez School,London,9.0,1529.0,67.0,English,Yes,No,3.09,Excellent
Edwin White,Male,18,Argentina,Yang-Gonzales School,Cape Town,9.0,1540.0,90.0,French,Yes,No,3.38,Excellent
Andrew Villegas,Male,17,Canada,"Rose, Hendricks and Martin School",Phoenix,7.0,1285.0,79.0,Spanish,No,No,0.9,Poor
Tiffany Henderson,Male,19,Thailand,Garcia Inc School,London,9.0,1463.0,69.0,French,Yes,No,2.49,Good
Maurice Johnson DDS,Male,18,Brazil,Lawson PLC School,Chicago,7.0,1389.0,85.0,English,No,No,1.92,Average
Margaret Huang,Male,19,Japan,Booth and Sons School,Vancouver,9.0,1552.0,62.0,English,Yes,No,3.26,Excellent
Ann Collins,Male,17,Nigeria,Jenkins-Turner School,Tokyo,9.0,1286.0,73.0,French,No,No,0.87,Poor
Jessica Gates,Female,19,Colombia,Franklin and Sons School,London,8.0,1471.0,79.0,German,No,No,2.64,Good
Jerry Martinez,Male,17,Philippines,Mayer and Sons School,Moscow,6.0,1443.0,66.0,Spanish,No,Yes,2.27,Good
Veronica Tran,Male,18,Thailand,Morris Group School,Toronto,9.0,1318.0,99.0,French,No,No,1.38,Average
Kyle Johnson,Female,18,Russia,Holden-King School,Sydney,7.0,1255.0,68.0,Spanish,No,No,0.53,Poor
Michael Nelson,Female,19,Japan,"Holmes, Taylor and Decker School",Paris,7.0,1461.0,65.0,French,Yes,Yes,2.43,Good
Diamond Taylor,Female,17,France,"Mcbride, Sims and Adams School",Dubai,6.0,1495.0,68.0,Spanish,Yes,No,2.77,Good
Laura Patterson,Female,17,Mexico,"Clark, Velazquez and Butler School",London,8.0,1326.0,91.0,Spanish,Yes,No,1.38,Average
Ryan Aguilar DVM,Male,17,Pakistan,"Allen, Esparza and Harper School",Phoenix,9.0,1458.0,77.0,German,Yes,No,2.51,Good
Karen Rubio,Male,19,Pakistan,Gill-Tucker School,Tokyo,6.0,1358.0,83.0,French,Yes,No,1.61,Average
Andre Valencia,Male,17,Pakistan,Johnson-Brown School,Chicago,8.0,1485.0,61.0,Spanish,Yes,No,2.63,Good
Natalie Gregory,Female,17,India,"Fuentes, Williams and Jenkins School",Moscow,7.0,1280.0,61.0,French,Yes,No,0.71,Poor
Samantha Rios,Male,17,Vietnam,Horn PLC School,Chicago,9.0,1556.0,78.0,German,Yes,Yes,3.43,Excellent
Mario Gonzalez,Male,17,Iran,Brown-West School,Sydney,7.0,1315.0,93.0,English,Yes,No,1.29,Average
Brian Cruz,Female,19,US,Hunter-Mckee School,Chicago,9.0,1347.0,95.0,French,No,No,1.62,Average
Edward King,Female,19,US,"Gutierrez, Bradshaw and Coffey School",Vancouver,8.0,1223.0,63.0,Spanish,Yes,No,0.2,Poor
Ryan Higgins,Female,17,China,Drake-Brown School,Tokyo,10.0,1245.0,82.0,Spanish,Yes,No,0.57,Poor
Cindy Mitchell,Male,17,Nigeria,French-Doyle School,Phoenix,7.0,1406.0,97.0,French,Yes,No,2.17,Good
Ricky Reed,Female,18,Colombia,Morrison and Sons School,London,7.0,1307.0,76.0,German,No,Yes,1.08,Average
Jessica Castro,Male,18,US,Arellano-Hughes School,Phoenix,6.0,1534.0,93.0,Spanish,No,No,3.33,Excellent
Briana Page,Female,17,Italy,Miller PLC School,Paris,10.0,1206.0,65.0,French,No,Yes,0.07,Poor
Anita Anderson,Female,17,Australia,"Walker, Perez and Taylor School",Beijing,10.0,1352.0,97.0,German,No,Yes,1.68,Average
David Ward,Female,18,South Korea,"Lee, Hill and Kelly School",Paris,7.0,1335.0,90.0,German,Yes,No,1.46,Average
Charles Hess,Male,18,Iran,"Hurst, Cherry and Gould School",Moscow,9.0,1208.0,98.0,French,No,No,0.35,Poor
Cody Bentley,Female,17,Bangladesh,Price-Martinez School,Tokyo,9.0,1250.0,87.0,English,Yes,No,0.65,Poor
Jessica White,Female,19,Vietnam,Parker-Hardin School,Chicago,8.0,1365.0,75.0,French,Yes,Yes,1.62,Average
Jill Kerr,Female,19,Brazil,"Adams, Sexton and Short School",Los Angeles,8.0,1397.0,98.0,French,No,Yes,2.1,Good
Heidi Sweeney,Female,17,Germany,"Mathews, Duran and Kennedy School",London,7.0,1362.0,71.0,German,Yes,No,1.56,Average
Jacob Brown,Female,17,Brazil,"Carlson, Hale and Alexander School",Vancouver,6.0,1412.0,73.0,French,Yes,Yes,2.03,Good
Ivan White,Female,18,Thailand,"Salazar, Henry and Riley School",Cape Town,10.0,1438.0,88.0,Spanish,Yes,No,2.41,Good
Jason Burton,Male,18,France,Wilson-Nelson School,Chicago,10.0,1204.0,91.0,German,No,No,0.26,Poor
Nicole Stephenson,Female,19,Canada,Trujillo-Mccall School,Sydney,9.0,1386.0,97.0,German,No,Yes,2.0,Average
Laura Sherman,Male,17,Pakistan,"Reilly, Haney and Kirby School",London,7.0,1585.0,68.0,English,Yes,Yes,3.61,Excellent
Kelsey Thomas,Female,18,Spain,Newman and Sons School,Los Angeles,7.0,1408.0,92.0,Spanish,No,Yes,2.15,Good
Tiffany Mann,Female,19,Brazil,Logan-Kelly School,Houston,9.0,1471.0,90.0,English,Yes,No,2.73,Good
Chris Davis,Female,19,Bangladesh,Pittman-Smith School,Toronto,10.0,1325.0,63.0,French,No,No,1.16,Average
Samantha Alexander,Female,19,Vietnam,Wagner Group School,Sydney,10.0,1510.0,75.0,English,Yes,Yes,2.98,Good
Robert Livingston,Female,18,Germany,Maddox LLC School,Cape Town,9.0,1509.0,71.0,French,No,Yes,2.94,Good
Mary Rodgers,Male,18,Indonesia,Olson-Lester School,Los Angeles,9.0,1409.0,72.0,Spanish,No,Yes,2.01,Good
Kayla Brown,Male,17,India,Jimenez-Lucas School,Beijing,6.0,1590.0,99.0,English,No,No,3.9,Excellent
Miguel Lynch,Female,17,Mexico,Miller-Soto School,Tokyo,7.0,1250.0,86.0,Spanish,No,Yes,0.63,Poor
Sarah Hernandez,Female,19,Turkey,Ramsey LLC School,Houston,10.0,1207.0,89.0,German,Yes,No,0.27,Poor
Joanna Martinez,Male,19,Vietnam,"Jefferson, Wood and Clark School",Chicago,8.0,1508.0,99.0,Spanish,No,Yes,3.15,Excellent
Patricia Reilly,Female,18,Turkey,"Kerr, Johnson and Garcia School",Chicago,6.0,1523.0,75.0,German,Yes,No,3.08,Excellent
Isaiah Young,Male,18,South Korea,Nelson-Page School,Beijing,6.0,1248.0,92.0,English,Yes,Yes,0.66,Poor
Randy Reed,Male,17,Spain,Spence-Jones School,Los Angeles,9.0,1306.0,77.0,German,No,No,1.09,Average
Alicia Arnold,Female,17,South Korea,"Cooper, Lamb and Martin School",Toronto,6.0,1207.0,95.0,English,Yes,Yes,0.3,Poor
Andrea Mccall,Female,17,Pakistan,Manning and Sons School,Dubai,7.0,1317.0,67.0,German,Yes,No,1.1,Average
Colleen Carrillo,Female,18,Japan,Davis-Bradley School,Beijing,8.0,1509.0,98.0,Spanish,Yes,Yes,3.15,Excellent
David Santos,Female,19,Iran,"Roberts, Moss and Weaver School",Dubai,9.0,1407.0,69.0,German,Yes,No,1.97,Average
Beth Roman,Male,17,Canada,Hobbs Ltd School,Los Angeles,9.0,1339.0,73.0,Spanish,Yes,Yes,1.37,Average
Andrew Ellis,Male,17,Iran,Pearson-Sanchez School,Paris,7.0,1349.0,90.0,French,Yes,No,1.59,Average
Stephanie Gonzalez,Female,18,US,"Jimenez, Wilson and Wright School",Sydney,9.0,1201.0,76.0,French,No,Yes,0.1,Poor
Paul Murphy,Female,17,South Korea,"Blair, Arellano and Clark School",Cape Town,7.0,1320.0,84.0,Spanish,No,No,1.27,Average
